word,pos,cefr
democracy,noun,B2
democratic,adj,B2
demonstration,noun,B2
depart,verb,B2
dependent,adj,B2
deposit,noun,B2
deposit,verb,B2
depression,noun,B2
derive,verb,B2
desperately,adv,B2
destruction,noun,B2
determination,noun,B2
devote,verb,B2
differ,verb,B2
dime,noun,B2
disability,noun,B2
disabled,adj,B2
disagreement,noun,B2
disappoint,verb,B2
disappointment,noun,B2
discourage,verb,B2
disorder,noun,B2
distant,adj,B2
distinct,adj,B2
distinguish,verb,B2
distract,verb,B2
disturb,verb,B2
dive,verb,B2
dive,noun,B2
diverse,adj,B2
diversity,noun,B2
divorce,noun,B2
divorce,verb,B2
dominant,adj,B2
donation,noun,B2
dot,noun,B2
dramatically,adv,B2
drought,noun,B2
dull,adj,B2
dump,verb,B2
duration,noun,B2
dynamic,adj,B2
eager,adj,B2
economics,noun,B2
economist,noun,B2
editorial,adj,B2
efficiently,adv,B2
elbow,noun,B2
electronics,noun,B2
elegant,adj,B2
elementary,adj,B2
eliminate,verb,B2
embrace,verb,B2
emission,noun,B2
emotionally,adv,B2
empire,noun,B2
enjoyable,adj,B2
entertaining,adj,B2
entrepreneur,noun,B2
envelope,noun,B2
equip,verb,B2
equivalent,noun,B2
equivalent,adj,B2
era,noun,B2
erupt,verb,B2
essentially,adv,B2
ethic,noun,B2
ethnic,adj,B2
evaluation,noun,B2
evident,adj,B2
greenhouse,noun,B2
ladder,noun,B2
occupy,verb,B2
evolution,noun,B2
guideline,noun,B2
landing,noun,B2
offender,noun,B2
evolve,verb,B2
habitat,noun,B2
lane,noun,B2
ongoing,adj,B2
exceed,verb,B2
harbor,noun,B2
lately,adv,B2
openly,adv,B2
exception,noun,B2
headquarters,noun,B2
legend,noun,B2
opera,noun,B2
excessive,adj,B2
heal,verb,B2
lens,noun,B2
operator,noun,B2
exclude,verb,B2
exotic,adj,B2
healthcare,noun,B2
lifetime,noun,B2
optimistic,adj,B2
expansion,noun,B2
helmet,noun,B2
lighting,noun,B2
orchestra,noun,B2
expedition,noun,B2
hence,adv,B2
likewise,adv,B2
organic,adj,B2
expertise,noun,B2
herb,noun,B2
limitation,noun,B2
outfit,noun,B2
exploit,verb,B2
hidden,adj,B2
literally,adv,B2
output,noun,B2
exposure,noun,B2
hilarious,adj,B2
literary,adj,B2
outstanding,adj,B2
extension,noun,B2
hip,noun,B2
litter,noun,B2
overcome,verb,B2
extensive,adj,B2
historian,noun,B2
logo,noun,B2
overnight,adv,B2
extensively,adv,B2
homeless,adj,B2
lottery,noun,B2
ownership,noun,B2
extract,noun,B2
honesty,noun,B2
loyal,adj,B2
oxygen,noun,B2
fabric,noun,B2
honey,noun,B2
lyric,noun,B2
packet,noun,B2
fabulous,adj,B2
hook,noun,B2
makeup,noun,B2
palm,noun,B2
faculty,noun,B2
hopefully,adv,B2
making,noun,B2
panic,noun,B2
failed,adj,B2
hunger,noun,B2
manufacture,verb,B2
parade,noun,B2
fake,adj,B2
hypothesis,noun,B2
manufacturing,noun,B2
parallel,adj,B2
parallel,noun,B2
fame,noun,B2
icon,noun,B2
marathon,noun,B2
participation,noun,B2
fantasy,noun,B2
ID,noun,B2
margin,noun,B2
partnership,noun,B2
fare,noun,B2
identical,adj,B2
marker,noun,B2
part-time,adj,B2
part-time,adv,B2
firefighter,noun,B2
illusion,noun,B2
martial,adj,B2
passionate,adj,B2
firework,noun,B2
immigration,noun,B2
mate,noun,B2
mate,verb,B2
password,noun,B2
firm,adj,B2
immune,adj,B2
mechanic,noun,B2
patch,noun,B2
firmly,adv,B2
implement,verb,B2
mechanical,adj,B2
patience,noun,B2
flavor,noun,B2
implication,noun,B2
mechanism,noun,B2
pause,verb,B2
pause,noun,B2
fond,adj,B2
incentive,noun,B2
medal,noun,B2
peer,noun,B2
fool,noun,B2
incorporate,verb,B2
medication,noun,B2
penalty,noun,B2
forbid,verb,B2
incorrect,adj,B2
membership,noun,B2
perceive,verb,B2
forecast,noun,B2
forecast,verb,B2
independence,noun,B2
memorable,adj,B2
perception,noun,B2
format,noun,B2
index,noun,B2
metaphor,noun,B2
permanently,adv,B2
formation,noun,B2
indication,noun,B2
miner,noun,B2
pharmacy,noun,B2
formerly,adv,B2
inevitable,adj,B2
miserable,adj,B2
physician,noun,B2
fortunate,adj,B2
inevitably,adv,B2
mode,noun,B2
pill,noun,B2
forum,noun,B2
infer,verb,B2
modest,adj,B2
pity,noun,B2
fossil,noun,B2
inflation,noun,B2
monster,noun,B2
placement,noun,B2
foundation,noun,B2
info,noun,B2
monthly,adj,B2
portion,noun,B2
founder,noun,B2
infrastructure,noun,B2
monument,noun,B2
potentially,adv,B2
fraction,noun,B2
inhabitant,noun,B2
moreover,adv,B2
precede,verb,B2
fragment,noun,B2
inherit,verb,B2
mortgage,noun,B2
precious,adj,B2
framework,noun,B2
ink,noun,B2
mosque,noun,B2
precise,adj,B2
fraud,noun,B2
innovation,noun,B2
mosquito,noun,B2
precisely,adv,B2
freely,adv,B2
innovative,adj,B2
motion,noun,B2
predictable,adj,B2
frequent,adj,B2
input,noun,B2
motivate,verb,B2
preference,noun,B2
fulfill,verb,B2
insert,verb,B2
motivation,noun,B2
presidential,adj,B2
full-time,adj,B2
full-time,adv,B2
inspector,noun,B2
moving,adj,B2
pride,noun,B2
fundamentally,adv,B2
installation,noun,B2
myth,noun,B2
primarily,adv,B2
furious,adj,B2
instant,adj,B2
naked,adj,B2
prior,adj,B2
gallon,noun,B2
instantly,adv,B2
nasty,adj,B2
probability,noun,B2
gaming,noun,B2
integrate,verb,B2
navigation,noun,B2
probable,adj,B2
gay,adj,B2
intellectual,adj,B2
nearby,adj,B2
nearby,adv,B2
proceed,verb,B2
gender,noun,B2
interact,verb,B2
necessity,noun,B2
programming,noun,B2
gene,noun,B2
interaction,noun,B2
negotiate,verb,B2
progressive,adj,B2
genetic,adj,B2
interpretation,noun,B2
negotiation,noun,B2
prohibit,verb,B2
genius,noun,B2
interval,noun,B2
neutral,adj,B2
promising,adj,B2
genuine,adj,B2
invade,verb,B2
newly,adv,B2
promotion,noun,B2
genuinely,adv,B2
invasion,noun,B2
nickel,noun,B2
prompt,verb,B2
gesture,noun,B2
investor,noun,B2
norm,noun,B2
proportion,noun,B2
globalization,noun,B2
isolate,verb,B2
notebook,noun,B2
protein,noun,B2
globe,noun,B2
isolated,adj,B2
novelist,noun,B2
protester,noun,B2
golden,adj,B2
jail,noun,B2
jail,verb,B2
nowadays,adv,B2
psychological,adj,B2
goodness,noun,B2
jet,noun,B2
nursing,adj,B2
publicity,noun,B2
gorgeous,adj,B2
joint,adj,B2
joint,noun,B2
nutrition,noun,B2
publishing,noun,B2
graphic,adj,B2
journalism,noun,B2
obesity,noun,B2
punk,noun,B2
graphics,noun,B2
jury,noun,B2
observer,noun,B2
purely,adv,B2
greatly,adv,B2
kindergarten,noun,B2
obstacle,noun,B2
pursuit,noun,B2
kit,noun,B2
occupation,noun,B2
puzzle,noun,B2
questionnaire,noun,B2
significance,noun,B2
thoroughly,adv,B2
accordingly,adv,B2
racial,adj,B2
skilled,adj,B2
thumb,noun,B2
accountability,noun,B2
racism,noun,B2
skull,noun,B2
timing,noun,B2
accountable,adj,B2
racist,adj,B2
racist,noun,B2
slogan,noun,B2
tissue,noun,B2
accumulate,verb,B2
radiation,noun,B2
so-called,adj,B2
tournament,noun,B2
accumulation,noun,B2
rail,noun,B2
somehow,adv,B2
trace,verb,B2
accusation,noun,B2
random,adj,B2
sometime,adv,B2
trading,noun,B2
accused,noun,B2
rat,noun,B2
sophisticated,adj,B2
tragedy,noun,B2
acid,adj,B2
rating,noun,B2
spare,adj,B2
tragic,adj,B2
acquisition,noun,B2
reasonably,adv,B2
specialize,verb,B2
trait,noun,B2
activation,noun,B2
rebuild,verb,B2
specify,verb,B2
transmit,verb,B2
activist,noun,B2
receiver,noun,B2
spectacular,adj,B2
trap,verb,B2
trap,noun,B2
acute,adj,B2
recession,noun,B2
spectator,noun,B2
treasure,noun,B2
adaptation,noun,B2
reckon,verb,B2
speculate,verb,B2
tribe,noun,B2
adhere,verb,B2
recognition,noun,B2
speculation,noun,B2
trigger,verb,B2
adjacent,adj,B2
recovery,noun,B2
spice,noun,B2
trillion,number,B2
adjustment,noun,B2
recruit,verb,B2
recruit,noun,B2
spill,verb,B2
troop,noun,B2
administer,verb,B2
referee,noun,B2
spite,noun,B2
tsunami,noun,B2
administrative,adj,B2
refugee,noun,B2
spoil,verb,B2
ultimate,adj,B2
administrator,noun,B2
registration,noun,B2
spokesman,noun,B2
unacceptable,adj,B2
admission,noun,B2
regulate,verb,B2
spokesperson,noun,B2
uncertainty,noun,B2
adolescent,noun,B2
reinforce,verb,B2
spokeswoman,noun,B2
undergo,verb,B2
adoption,noun,B2
relieve,verb,B2
sponsorship,noun,B2
undertake,verb,B2
adverse,adj,B2
relieved,adj,B2
stall,noun,B2
unfold,verb,B2
advocate,noun,B2
advocate,verb,B2
remarkable,adj,B2
stance,noun,B2
unfortunate,adj,B2
aesthetic,adj,B2
remarkably,adv,B2
starve,verb,B2
unite,verb,B2
affection,noun,B2
rental,noun,B2
steadily,adv,B2
unity,noun,B2
aftermath,noun,B2
reporting,noun,B2
steam,noun,B2
universal,adj,B2
aggression,noun,B2
resign,verb,B2
stimulate,verb,B2
urgent,adj,B2
agricultural,adj,B2
resolution,noun,B2
strengthen,verb,B2
usage,noun,B2
aide,noun,B2
restore,verb,B2
strictly,adv,B2
useless,adj,B2
alert,verb,B2
alert,noun,B2
alert,adj,B2
restrict,verb,B2
stroke,noun,B2
valid,adj,B2
alien,adj,B2
restriction,noun,B2
stunning,adj,B2
variation,noun,B2
align,verb,B2
subsequent,adj,B2
vertical,adj,B2
alignment,noun,B2
retail,noun,B2
subsequently,adv,B2
viewpoint,noun,B2
alike,adv,B2
alike,adj,B2
retirement,noun,B2
suburb,noun,B2
visa,noun,B2
allegation,noun,B2
revenue,noun,B2
suffering,noun,B2
visible,adj,B2
allege,verb,B2
revision,noun,B2
sufficient,adj,B2
voluntary,adj,B2
allegedly,adv,B2
ridiculous,adj,B2
sufficiently,adv,B2
voting,noun,B2
alliance,noun,B2
risky,adj,B2
super,adj,B2
wander,verb,B2
allocate,verb,B2
rival,noun,B2
rival,adj,B2
surgeon,noun,B2
warming,noun,B2
allocation,noun,B2
rob,verb,B2
survival,noun,B2
weekly,adj,B2
allowance,noun,B2
robbery,noun,B2
survivor,noun,B2
weird,adj,B2
ally,noun,B2
rocket,noun,B2
suspend,verb,B2
welfare,noun,B2
aluminum,noun,B2
romance,noun,B2
sustainable,adj,B2
wheat,noun,B2
amateur,adj,B2
amateur,noun,B2
rose,noun,B2
swallow,verb,B2
whoever,pron,B2
ambassador,noun,B2
roughly,adv,B2
sympathetic,adj,B2
widespread,adj,B2
amend,verb,B2
ruin,verb,B2
ruin,noun,B2
tackle,verb,B2
wisdom,noun,B2
amendment,noun,B2
satisfaction,noun,B2
tag,noun,B2
withdraw,verb,B2
amid,prep,B2
scandal,noun,B2
tap,verb,B2
tap,noun,B2
wolf,noun,B2
analogy,noun,B2
scare,verb,B2
scare,noun,B2
technological,adj,B2
workforce,noun,B2
anchor,noun,B2
scenario,noun,B2
teen,noun,B2
teen,adj,B2
workplace,noun,B2
angel,noun,B2
scholar,noun,B2
temple,noun,B2
workshop,noun,B2
anonymous,adj,B2
scholarship,noun,B2
temporarily,adv,B2
worm,noun,B2
apparatus,noun,B2
scratch,verb,B2
scratch,noun,B2
tendency,noun,B2
wrist,noun,B2
apparel,noun,B2
screening,noun,B2
tension,noun,B2
appealing,adj,B2
seeker,noun,B2
terminal,noun,B2
terms,noun,B2
appetite,noun,C1
seminar,noun,C1
terribly,adv,C1
applaud,verb,C1
settler,noun,C1
terrify,verb,C1
applicable,adj,C1
severely,adv,C1
territory,noun,C1
abolish,verb,C1
appoint,verb,C1
sexy,adj,C1
terror,noun,C1
abortion,noun,C1
appreciation,noun,C1
shaped,adj,C1
terrorism,noun,C1
absence,noun,C1
arbitrary,adj,C1
shocking,adj,C1
terrorist,noun,C1
absent,adj,C1
architectural,adj,C1
shore,noun,C1
testing,noun,C1
absurd,adj,C1
archive,noun,C1
shortage,noun,C1
textbook,noun,C1
abuse,noun,C1
abuse,verb,C1
arena,noun,C1
shortly,adv,C1
theft,noun,C1
academy,noun,C1
arm,verb,C1
short-term,adj,C1
therapist,noun,C1
accelerate,verb,C1
array,noun,C1
sibling,noun,C1
thesis,noun,C1
acceptance,noun,C1
articulate,verb,C1
sidewalk,noun,C1
thorough,adj,C1
accessible,adj,C1
ash,noun,C1
signature,noun,C1
accomplishment,noun,C1
aspiration,noun,C1
aspire,verb,C1
buddy,noun,C1
compensation,noun,C1
corrupt,adj,C1
assassination,noun,C1
buffer,noun,C1
competence,noun,C1
corruption,noun,C1
assault,noun,C1
assault,verb,C1
bulk,noun,C1
competent,adj,C1
costly,adj,C1
assemble,verb,C1
burden,noun,C1
compile,verb,C1
councilor,noun,C1
assembly,noun,C1
bureaucracy,noun,C1
complement,verb,C1
counseling,noun,C1
assert,verb,C1
burial,noun,C1
complexity,noun,C1
counselor,noun,C1
assertion,noun,C1
burst,verb,C1
compliance,noun,C1
counter,verb,C1
assurance,noun,C1
cabinet,noun,C1
complication,noun,C1
counterpart,noun,C1
asylum,noun,C1
calculation,noun,C1
comply,verb,C1
countless,adj,C1
atrocity,noun,C1
canvas,noun,C1
composition,noun,C1
coup,noun,C1
attain,verb,C1
capability,noun,C1
compromise,noun,C1
compromise,verb,C1
courtesy,noun,C1
attendance,noun,C1
capitalism,noun,C1
compute,verb,C1
craft,verb,C1
attribute,verb,C1
attribute,noun,C1
capitalist,adj,C1
conceal,verb,C1
crawl,verb,C1
auction,noun,C1
cargo,noun,C1
concede,verb,C1
creator,noun,C1
audit,noun,C1
carriage,noun,C1
conceive,verb,C1
credibility,noun,C1
authentic,adj,C1
carve,verb,C1
conception,noun,C1
credible,adj,C1
authorize,verb,C1
casino,noun,C1
concession,noun,C1
creep,verb,C1
auto,noun,C1
casualty,noun,C1
condemn,verb,C1
critique,noun,C1
autonomy,noun,C1
catalog,noun,C1
confer,verb,C1
crown,noun,C1
autumn,noun,C1
cater,verb,C1
confession,noun,C1
crude,adj,C1
availability,noun,C1
cattle,noun,C1
configuration,noun,C1
crush,verb,C1
await,verb,C1
caution,noun,C1
confine,verb,C1
crystal,noun,C1
backdrop,noun,C1
cautious,adj,C1
confirmation,noun,C1
cult,noun,C1
cult,adj,C1
backing,noun,C1
cease,verb,C1
confront,verb,C1
cultivate,verb,C1
backup,noun,C1
cemetery,noun,C1
confrontation,noun,C1
curiosity,noun,C1
bail,noun,C1
chamber,noun,C1
congratulate,verb,C1
custody,noun,C1
ballot,noun,C1
chaos,noun,C1
congregation,noun,C1
cutting,noun,C1
bankruptcy,noun,C1
characterize,verb,C1
congressional,adj,C1
cynical,adj,C1
banner,noun,C1
charm,noun,C1
conquer,verb,C1
dam,noun,C1
bare,adj,C1
charter,noun,C1
conscience,noun,C1
damaging,adj,C1
barrel,noun,C1
choir,noun,C1
consciousness,noun,C1
dawn,noun,C1
bass,noun,C1
chronic,adj,C1
consecutive,adj,C1
debris,noun,C1
bat,verb,C1
chunk,noun,C1
consensus,noun,C1
debut,noun,C1
battlefield,noun,C1
circulate,verb,C1
consent,noun,C1
consent,verb,C1
decision-making,noun,C1
bay,noun,C1
circulation,noun,C1
conserve,verb,C1
decisive,adj,C1
beam,noun,C1
citizenship,noun,C1
consistency,noun,C1
declaration,noun,C1
beast,noun,C1
civic,adj,C1
consolidate,verb,C1
dedicated,adj,C1
behalf,noun,C1
civilian,noun,C1
civilian,adj,C1
constitute,verb,C1
dedication,noun,C1
behavioral,adj,C1
clarity,noun,C1
constitution,noun,C1
deed,noun,C1
beloved,adj,C1
clash,noun,C1
constitutional,adj,C1
deem,verb,C1
bench,noun,C1
classification,noun,C1
constraint,noun,C1
default,noun,C1
benchmark,noun,C1
cling,verb,C1
consultation,noun,C1
defect,noun,C1
beneath,prep,C1
clinical,adj,C1
contemplate,verb,C1
defensive,adj,C1
beneficiary,noun,C1
closure,noun,C1
contempt,noun,C1
deficiency,noun,C1
betray,verb,C1
cluster,noun,C1
contend,verb,C1
deficit,noun,C1
beverage,noun,C1
coalition,noun,C1
contender,noun,C1
defy,verb,C1
bind,verb,C1
coastal,adj,C1
content,adj,C1
delegate,noun,C1
biography,noun,C1
cocktail,noun,C1
contention,noun,C1
delegation,noun,C1
bishop,noun,C1
cognitive,adj,C1
continually,adv,C1
delicate,adj,C1
bizarre,adj,C1
coincide,verb,C1
contractor,noun,C1
demon,noun,C1
blade,noun,C1
collaborate,verb,C1
contradiction,noun,C1
denial,noun,C1
blast,noun,C1
blast,verb,C1
collaboration,noun,C1
contrary,adj,C1
contrary,noun,C1
denounce,verb,C1
bleed,verb,C1
collective,adj,C1
contributor,noun,C1
dense,adj,C1
blend,verb,C1
blend,noun,C1
collision,noun,C1
conversion,noun,C1
density,noun,C1
bless,verb,C1
colonial,adj,C1
convict,verb,C1
dependence,noun,C1
blessing,noun,C1
columnist,noun,C1
conviction,noun,C1
depict,verb,C1
boast,verb,C1
combat,noun,C1
combat,verb,C1
cooperate,verb,C1
deploy,verb,C1
bonus,noun,C1
commence,verb,C1
cooperative,adj,C1
deployment,noun,C1
booking,noun,C1
commentary,noun,C1
coordinate,verb,C1
deprive,verb,C1
boom,noun,C1
commentator,noun,C1
coordination,noun,C1
deputy,noun,C1
bounce,verb,C1
commerce,noun,C1
coordinator,noun,C1
descend,verb,C1
boundary,noun,C1
commissioner,noun,C1
copper,noun,C1
descent,noun,C1
bow,verb,C1
bow,noun,C1
commodity,noun,C1
copyright,noun,C1
designate,verb,C1
breach,noun,C1
breach,verb,C1
communist,adj,C1
correction,noun,C1
desirable,adj,C1
breakdown,noun,C1
companion,noun,C1
correlate,verb,C1
desktop,noun,C1
breakthrough,noun,C1
comparable,adj,C1
correlation,noun,C1
destructive,adj,C1
breed,verb,C1
breed,noun,C1
compassion,noun,C1
correspond,verb,C1
detain,verb,C1
broadband,noun,C1
compel,verb,C1
correspondence,noun,C1
detection,noun,C1
browser,noun,C1
compelling,adj,C1
correspondent,noun,C1
detention,noun,C1
brutal,adj,C1
compensate,verb,C1
corresponding,adj,C1
deteriorate,verb,C1
devastate,verb,C1
embed,verb,C1
fine,noun,C1
fine,verb,C1
firearm,noun,C1
devil,noun,C1
embody,verb,C1
fiscal,adj,C1
devise,verb,C1
emergence,noun,C1
fit,noun,C1
diagnose,verb,C1
empirical,adj,C1
flaw,noun,C1
diagnosis,noun,C1
empower,verb,C1
flawed,adj,C1
dictate,verb,C1
enact,verb,C1
flee,verb,C1
dictator,noun,C1
encompass,verb,C1
fleet,noun,C1
differentiate,verb,C1
encouragement,noun,C1
flesh,noun,C1
dignity,noun,C1
encouraging,adj,C1
flexibility,noun,C1
dilemma,noun,C1
endeavor,noun,C1
flourish,verb,C1
dimension,noun,C1
endless,adj,C1
fluid,noun,C1
diminish,verb,C1
endorse,verb,C1
footage,noun,C1
dip,verb,C1
endorsement,noun,C1
foreigner,noun,C1
diplomat,noun,C1
endure,verb,C1
forge,verb,C1
diplomatic,noun,C1
enforce,verb,C1
formula,noun,C1
directory,noun,C1
enforcement,noun,C1
formulate,verb,C1
disastrous,adj,C1
engagement,noun,C1
forth,adv,C1
discard,verb,C1
engaging,adj,C1
forthcoming,adj,C1
discharge,verb,C1
enrich,verb,C1
foster,verb,C1
disclose,verb,C1
enroll,verb,C1
fragile,adj,C1
disclosure,noun,C1
ensue,verb,C1
franchise,noun,C1
discourse,noun,C1
enterprise,noun,C1
frankly,adv,C1
discretion,noun,C1
enthusiast,noun,C1
freshman,noun,C1
discrimination,noun,C1
entitle,verb,C1
frustrated,adj,C1
dismissal,noun,C1
entity,noun,C1
frustrating,adj,C1
displace,verb,C1
epidemic,noun,C1
frustration,noun,C1
disposal,noun,C1
equality,noun,C1
functional,adj,C1
dispose,verb,C1
equation,noun,C1
fundraising,noun,C1
dispute,noun,C1
dispute,verb,C1
erect,verb,C1
funeral,noun,C1
disrupt,verb,C1
escalate,verb,C1
gambling,noun,C1
disruption,noun,C1
essence,noun,C1
gathering,noun,C1
dissolve,verb,C1
establishment,noun,C1
gaze,noun,C1
gaze,verb,C1
distinction,noun,C1
eternal,adj,C1
gear,noun,C1
distinctive,adj,C1
evacuate,verb,C1
generic,adj,C1
distort,verb,C1
evoke,verb,C1
genocide,noun,C1
distress,noun,C1
distress,verb,C1
evolutionary,adj,C1
gig,noun,C1
disturbing,adj,C1
exaggerate,verb,C1
glance,noun,C1
glance,verb,C1
divert,verb,C1
excellence,noun,C1
glimpse,noun,C1
divine,adj,C1
exceptional,adj,C1
glorious,adj,C1
doctrine,noun,C1
excess,noun,C1
excess,adj,C1
glory,noun,C1
documentation,noun,C1
exclusion,noun,C1
governance,noun,C1
domain,noun,C1
exclusive,adj,C1
grace,noun,C1
dominance,noun,C1
exclusively,adv,C1
grasp,verb,C1
donor,noun,C1
execute,verb,C1
grave,noun,C1
dose,noun,C1
execution,noun,C1
grave,adj,C1
drain,verb,C1
exert,verb,C1
gravity,noun,C1
drift,verb,C1
exile,noun,C1
grid,noun,C1
driving,adj,C1
expenditure,noun,C1
grief,noun,C1
drown,verb,C1
experimental,adj,C1
grin,verb,C1
grin,noun,C1
dual,adj,C1
expire,verb,C1
grind,verb,C1
dub,verb,C1
explicit,adj,C1
grip,noun,C1
grip,verb,C1
dumb,adj,C1
explicitly,adv,C1
gross,adj,C1
duo,noun,C1
exploitation,noun,C1
guerrilla,noun,C1
dynamic,noun,C1
explosive,adj,C1
explosive,noun,C1
guidance,noun,C1
earnings,noun,C1
extract,verb,C1
guilt,noun,C1
ease,noun,C1
ease,verb,C1
extremist,noun,C1
gut,noun,C1
echo,verb,C1
echo,noun,C1
facilitate,verb,C1
hail,verb,C1
ecological,adj,C1
faction,noun,C1
halfway,adv,C1
educator,noun,C1
fade,verb,C1
halt,verb,C1
halt,noun,C1
effectiveness,noun,C1
fairness,noun,C1
handful,noun,C1
efficiency,noun,C1
fatal,adj,C1
handling,noun,C1
ego,noun,C1
fate,noun,C1
handy,adj,C1
elaborate,adj,C1
favorable,adj,C1
harassment,noun,C1
electoral,adj,C1
feat,noun,C1
hardware,noun,C1
elevate,verb,C1
felony,noun,C1
harmony,noun,C1
eligible,adj,C1
feminist,adj,C1
feminist,noun,C1
harsh,adj,C1
elite,noun,C1
fiber,noun,C1
harvest,noun,C1
harvest,verb,C1
embark,verb,C1
fierce,adj,C1
hatred,noun,C1
embarrassment,noun,C1
filmmaker,noun,C1
haunt,verb,C1
embassy,noun,C1
filter,noun,C1
filter,verb,C1
hazard,noun,C1
heighten,verb,C1
heritage,noun,C1
hierarchy,noun,C1
high-profile,adj,C1
hint,noun,C1
hint,verb,C1
homeland,noun,C1
hook,verb,C1
hopeful,adj,C1
horizon,noun,C1
horn,noun,C1
hostage,noun,C1
hostile,adj,C1
hostility,noun,C1
humanitarian,adj,C1
humanity,noun,C1
humble,adj,C1
hydrogen,noun,C1
identification,noun,C1
ideological,adj,C1
ideology,noun,C1
idiot,noun,C1
ignorance,noun,C1
imagery,noun,C1
immense,adj,C1
imminent,adj,C1
implementation,noun,C1
imprison,verb,C1
inability,noun,C1
inadequate,adj,C1
inappropriate,adj,C1
incarcerate,verb,C1
incarceration,noun,C1
incidence,noun,C1
inclined,adj,C1
inclusion,noun,C1
incur,verb,C1
indicator,noun,C1
indictment,noun,C1
indigenous,adj,C1
induce,verb,C1
indulge,verb,C1
inequality,noun,C1
infamous,adj,C1
infant,noun,C1
infect,verb,C1
inflict,verb,C1
influential,adj,C1
inherent,adj,C1
inhibit,verb,C1
initiate,verb,C1
inject,verb,C1
injection,noun,C1
injustice,noun,C1
inmate,noun,C1
inquire,verb,C1
insertion,noun,C1
insider,noun,C1
inspect,verb,C1
inspection,noun,C1
inspiration,noun,C1
instinct,noun,C1
institutional,adj,C1
instruct,verb,C1
instrumental,adj,C1
insufficient,adj,C1
insult,noun,C1
insult,verb,C1
intact,adj,C1
intake,noun,C1
integral,adj,C1
integrated,adj,C1
listing,noun,C1
moderate,adj,C1
integration,noun,C1
liter,noun,C1
modification,noun,C1
integrity,noun,C1
literacy,noun,C1
module,noun,C1
intellectual,noun,C1
liver,noun,C1
momentum,noun,C1
intensify,verb,C1
lobby,noun,C1
lobby,verb,C1
monk,noun,C1
intensity,noun,C1
