word,pos,cefr,sense_id,sense_hint,sense_zipf,global_zipf_rank
lucky,adj,A2,lucky.s.01,occurring by chance,5.0512,67
ship,noun,A2,ship.n.01,a vessel that carries passengers or freight,5.0473,68
hold,verb,A2,hold.v.03,organize or be responsible for,5.0441,69
heart,noun,A2,heart.n.01,the locus of feelings and intuitions,5.0382,70
hang,verb,B1,hang.v.01,be suspended or hanging,5.0352,71
shoot,verb,B1,shoot.v.02,kill by firing a missile,5.0335,72
hide,verb,A2,hide.v.01,prevent from being seen or discovered,5.031,73
figure,verb,B2,calculate.v.02,judge to be probable,5.0203,74
sort,noun,A2,kind.n.01,a category of things distinguished by some common characteristic or quality,5.0199,75
truth,noun,B2,truth.n.01,a fact that has been verified,5.018,76
murder,noun,B1,murder.n.01,unlawful premeditated killing of a human being by a human being,5.0144,77
wedding,noun,B1,wedding.n.01,the social event at which the ceremony of marriage is performed,5.0115,78
wish,verb,B1,wish.v.01,hope for; have a wish,5.0038,79
promise,verb,A2,promise.v.01,make a promise or commitment,5.0008,80
couple,noun,A2,couple.n.01,a pair who associate with one another,5.0001,81
weird,adj,B2,eldritch.s.01,suggesting the operation of supernatural influences; ; ; - John Galsworthy; ; - Henry Kingsley,4.9958,82
buddy,noun,C1,buddy.n.01,a close friend who accompanies his buddies in their activities,4.9949,83
protect,verb,A2,protect.v.01,"shield from danger, injury, destruction, or damage",4.9935,84
lie,verb,B1,lie.v.02,"be lying, be prostrate; be in a horizontal position",4.9812,85
lawyer,noun,A2,lawyer.n.01,a professional person authorized to practice law; conducts lawsuits or gives legal advice,4.9801,86
ride,noun,A2,drive.n.08,a journey in a vehicle (usually an automobile),4.9771,87
stick,verb,B1,lodge.v.02,"put, fix, force, or implant",4.9731,88
fight,verb,A2,contend.v.06,be engaged in a fight; carry on a fight,4.9721,89
hold,verb,A2,hold.v.02,have or hold in one's hands or grip,4.9709,90
clear,adj,A2,clear.a.01,readily apparent to the mind,4.9612,91
war,noun,B1,war.n.01,the waging of armed conflict against an enemy,4.96,92
hurt,verb,A2,hurt.v.02,give trouble or pain to,4.9588,93
patient,noun,A2,patient.n.01,a person who requires medical care,4.9586,94
quit,verb,B1,discontinue.v.01,put an end to a state or an activity,4.9465,95
wonder,verb,B1,wonder.v.01,have a wish or desire to know something,4.9461,96
matter,verb,A2,count.v.02,"have weight; have import, carry weight",4.943,97
power,noun,A2,power.n.01,possession of controlling influence,4.9426,98
shot,noun,B2,shooting.n.01,the act of firing a projectile,4.941,99
totally,adv,B1,wholly.r.01,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),4.9408,100
handle,verb,B2,manage.v.02,"be in charge of, act on, or dispose of",4.939,101
heart,noun,A2,heart.n.02,the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,4.9376,102
forgive,verb,B2,forgive.v.01,stop blaming or grant forgiveness,4.925,103
fight,noun,A2,fight.n.02,the act of fighting; any contest or struggle,4.9234,104
sex,noun,B1,sexual_activity.n.01,activities associated with sexual intercourse,4.9205,105
wish,verb,B1,wish.v.02,prefer or wish to do something,4.9195,106
drug,noun,A2,drug.n.01,a substance that is used as a medicine or narcotic,4.9191,107
kiss,verb,B1,snog.v.01,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",4.9172,108
push,verb,A2,push.v.01,"move with force,",4.9122,109
weapon,noun,B1,weapon.n.01,any instrument or instrumentality used in fighting or hunting,4.9097,110
like,noun,B1,like.n.01,"a similar kind; ,",4.9044,111
wall,noun,A2,wall.n.01,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure,4.8993,112
close,adj,A2,close.a.01,at or within a short distance in space or time or having elements near each other,4.8912,113
grab,verb,B2,catch.v.04,take hold of so as to seize or restrain or stop the motion of,4.8897,114
crime,noun,A2,crime.n.01,(criminal law) an act punishable by law; usually considered an evil act,4.8886,115
act,verb,A2,act.v.01,"perform an action, or work out or perform (an action)",4.8884,116
law,noun,A2,law.n.01,the collection of rules imposed by authority,4.8883,117
trouble,noun,B1,trouble.n.01,a source of difficulty,4.8836,118
definitely,adv,A2,decidedly.r.01,without question and beyond doubt,4.8835,119
sake,noun,C1,sake.n.01,a reason for wanting something done,4.8825,120
hit,verb,A2,hit.v.01,cause to move by striking,4.8822,121
proud,adj,B1,proud.a.01,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride,4.882,122
sleep,noun,A2,sleep.n.01,a natural and periodic state of rest during which consciousness of the world is suspended,4.8777,123
look,noun,A2,expression.n.01,the feelings expressed on a person's face,4.8688,124
idiot,noun,C1,idiot.n.01,a person of subnormal intelligence,4.8641,125
court,noun,B1,court.n.01,an assembly (including one or more judges) to conduct judicial business,4.8558,126
simple,adj,A2,simple.a.01,having few parts; not complex or complicated or involved,4.85,127
wonder,verb,B1,wonder.v.02,place in doubt or express doubtful speculation,4.8492,128
realize,verb,A2,recognize.v.02,be fully aware or cognizant of,4.8491,129
mention,verb,A2,mention.v.01,make reference to,4.8479,130
entire,adj,B2,entire.s.01,constituting the full quantity or extent; complete,4.8431,131
single,adj,A2,individual.a.01,being or characteristic of a single thing or person,4.842,132
breathe,verb,B1,breathe.v.01,"draw air into, and expel out of, the lungs",4.8419,133
couple,noun,A2,couple.n.02,a pair of people who live together,4.8404,134
forever,adv,B1,everlastingly.r.01,for a limitless time; ; - P.P.Bliss,4.8396,135
luck,noun,A2,luck.n.02,an unknown and unpredictable phenomenon that causes an event to result one way rather than another,4.8384,136
luck,noun,A2,fortune.n.04,your overall circumstances or condition in life (including everything that happens to you),4.8384,137
beat,verb,A2,beat.v.01,"come out better in a competition, race, or conflict",4.8371,138
buck,noun,B2,vaulting_horse.n.01,a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting,4.8366,139
deserve,verb,B2,deserve.v.01,be worthy or deserving,4.8347,140
normal,adj,A2,normal.a.01,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,4.8315,141
joke,noun,A2,joke.n.01,a humorous anecdote or remark intended to provoke laughter,4.8311,142
finger,noun,A2,finger.n.01,any of the terminal members of the hand (sometimes excepting the thumb),4.8287,143
death,noun,A2,death.n.02,the permanent end of all life functions in an organism or part of an organism,4.8284,144
death,noun,A2,death.n.01,the event of dying or departure from life,4.8284,145
especially,adv,A2,particularly.r.01,to a distinctly greater extent or degree than is common,4.8283,146
fight,verb,A2,fight.v.02,fight against or resist strongly,4.8279,147
use,noun,B1,use.n.01,the act of using,4.827,148
completely,adv,A2,wholly.r.01,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),4.8251,149
touch,verb,A2,touch.v.01,"make physical contact with, come in contact with",4.8233,150
pleasure,noun,B1,pleasure.n.01,a fundamental feeling that is hard to define but that people desire to experience,4.8231,151
apologize,verb,B1,apologize.v.01,acknowledge faults or shortcomings or failing,4.8212,152
surprise,verb,B1,surprise.v.01,cause to be surprised,4.8211,153
worth,adj,B1,deserving.s.01,worthy of being treated in a particular way; ;  (often used ironically),4.8205,154
human,adj,A2,human.a.01,characteristic of humanity,4.8189,155
head,verb,B1,head.v.01,to go or travel towards,4.8186,156
bit,noun,A2,bit.n.02,a small fragment of something broken off from the whole,4.8182,157
shoot,verb,B1,blast.v.07,fire a shot,4.8179,158
god,noun,A2,god.n.01,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions,4.8175,159
cross,verb,A2,traverse.v.01,travel across or pass over,4.816,160
favor,noun,B1,favor.n.01,an act of gracious kindness,4.8157,161
nervous,adj,A2,nervous.s.01,easily agitated,4.8146,162
folk,noun,B1,folk.n.01,people in general (often used in the plural),4.8143,163
sense,noun,A2,sense.n.01,a general conscious awareness,4.8116,164
drunk,adj,B1,intoxicated.a.01,stupefied or excited by a chemical substance (especially alcohol),4.81,165
guest,noun,A2,guest.n.01,a visitor to whom hospitality is extended,4.8099,166
usually,adv,A2,normally.r.01,under normal conditions,4.8061,167
tape,noun,B1,tape.n.01,a long thin piece of cloth or paper as used for binding or fastening,4.8061,168
client,noun,B1,client.n.01,a person who seeks the advice of a lawyer,4.8047,169
private,adj,B1,private.a.01,confined to particular persons or groups or providing privacy,4.803,170
hire,verb,B1,hire.v.01,engage or hire for work,4.8022,171
kiss,noun,B1,kiss.n.01,the act of caressing with the lips (or an instance thereof),4.8021,172
prison,noun,A2,prison.n.01,a correctional institution where persons are confined while on trial or for punishment,4.7994,173
strange,adj,B1,strange.a.01,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,4.7963,174
fair,adj,A2,fair.a.01,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,4.7944,175
president,noun,A2,president.n.01,an executive officer of a firm or corporation,4.7932,176
ruin,verb,B2,destroy.v.02,destroy completely; damage irreparably,4.7932,177
neck,noun,A2,neck.n.01,the part of an organism (human or animal) that connects the head to the rest of the body,4.7923,178
king,noun,A2,king.n.01,a male sovereign; ruler of a kingdom,4.7901,179
obviously,adv,B1,obviously.r.01,unmistakably (`plain' is often used informally for `plainly'),4.7871,180
involved,adj,B1,involved.a.01,connected by participation or association or use,4.7857,181
hit,verb,A2,hit.v.02,hit against; come into sudden contact with,4.7853,182
hurt,verb,A2,hurt.v.04,cause damage or affect negatively,4.7827,183
hurt,verb,A2,ache.v.03,be the source of pain,4.7827,184
trouble,noun,B1,fuss.n.02,an angry disturbance,4.7809,185
admit,verb,B1,admit.v.01,declare to be true or admit the existence or reality or truth of,4.7793,186
soldier,noun,A2,soldier.n.01,an enlisted man or woman who serves in an army,4.7736,187
suit,noun,B1,suit.n.01,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color,4.77,188
wake,verb,A2,wake.v.01,"be awake, be alert, be there",4.7676,189
seriously,adv,B1,seriously.r.01,in a serious manner,4.7628,190
cry,verb,A2,shout.v.02,utter a sudden loud cry,4.7603,191
guilty,adj,B1,guilty.a.01,responsible for or chargeable with a reprehensible act,4.7594,192
jump,verb,A2,jump.v.01,move forward by leaps and bounds,4.7579,193
evil,adj,B2,evil.a.01,morally bad or wrong,4.7563,194
continue,verb,A2,continue.v.01,"continue a certain state, condition, or activity",4.7559,195
security,noun,B1,security.n.01,the state of being free from danger or injury,4.7533,196
government,noun,A2,government.n.01,the organization that is the governing authority of a political unit,4.7464,197
pick,verb,A2,pick.v.02,look for and gather,4.7439,198
finally,adv,A2,finally.r.01,after an unspecified period of time or an especially long delay,4.7431,199
bomb,noun,B1,bomb.n.01,an explosive device fused to explode under specific conditions,4.7429,200
kick,verb,B1,kick.v.01,drive or propel with the foot,4.7427,201
shot,noun,B2,shot.n.02,a solid missile discharged from a firearm,4.7414,202
disappear,verb,A2,disappear.v.01,"get lost, as without warning or explanation",4.741,203
excuse,noun,B2,excuse.n.01,a defense of some offensive behavior or some failure to keep a promise etc.,4.7399,204
notice,verb,A2,detect.v.01,"discover or determine the existence, presence, or fact of",4.7391,205
realize,verb,A2,understand.v.02,perceive (an idea or situation) mentally,4.7361,206
owe,verb,B2,owe.v.01,be obliged to pay or repay,4.7352,207
prove,verb,B1,prove.v.01,be shown or be found to be,4.7332,208
secret,adj,A2,secret.s.01,not open or public; kept private or not revealed,4.7317,209
fault,noun,B2,defect.n.03,an imperfection in an object or machine,4.7299,210
fault,noun,B2,mistake.n.01,a wrong action attributable to bad judgment or ignorance or inattention,4.7299,211
forward,adv,A2,forward.r.01,at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations),4.729,212
step,noun,B1,measure.n.01,any maneuver made as part of progress toward a goal,4.7285,213
set,verb,B1,determine.v.03,fix conclusively or authoritatively,4.7285,214
set,verb,B1,put.v.01,put into a certain place or abstract location,4.7285,215
save,verb,A2,save.v.02,to keep up and reserve for personal or special use,4.7257,216
straight,adj,B1,straight.s.01,successive (without a break),4.7244,217
marriage,noun,B1,marriage.n.01,the state of being a married couple voluntarily joined for life (or until divorce),4.7213,218
surprise,noun,B1,surprise.n.01,the astonishment you feel when something totally unexpected happens to you,4.7201,219
wind,noun,B1,wind.n.01,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,4.7192,220
rock,noun,A2,rock.n.01,a lump or mass of hard consolidated mineral matter,4.7184,221
screw,verb,C1,sleep_together.v.01,have sexual intercourse with,4.7177,222
close,adj,A2,close.a.02,close in relevance or relationship,4.7151,223
calm,adj,B1,calm.s.01,not agitated; without losing self-possession,4.7133,224
destroy,verb,A2,destroy.v.01,"do away with, cause the destruction or undoing of",4.7111,225
ground,noun,A2,land.n.04,the solid part of the earth's surface,4.7087,226
instead,adv,A2,alternatively.r.01,"in place of, or as an alternative to",4.707,227
pain,noun,A2,pain.n.01,a symptom of some physical hurt or disorder,4.7065,228
soul,noun,B2,soul.n.01,the immaterial part of a person; the actuating cause of an individual life,4.7065,229
sea,noun,A2,sea.n.01,a division of an ocean or a large body of salt water partially enclosed by land,4.7061,230
pregnant,adj,B2,pregnant.a.01,carrying developing offspring within the body or being about to produce new life,4.7058,231
accident,noun,A2,accident.n.01,an unfortunate mishap; especially one causing damage or injury,4.7049,232
middle,noun,A2,center.n.01,an area that is approximately central within some larger region,4.7047,233
bullet,noun,B2,bullet.n.01,a projectile that is fired from a gun,4.702,234
knock,verb,A2,knock.v.02,rap with the knuckles,4.7004,235
heaven,noun,B2,eden.n.01,any place of complete bliss and delight and peace,4.6998,236
jail,noun,B2,jail.n.01,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),4.6981,237
hardly,adv,B1,barely.r.01,only a very short time before; ; ; ; ; - W.B.Yeats,4.6978,238
possibly,adv,B1,possibly.r.01,by chance,4.697,239
officer,noun,A2,military_officer.n.01,any person in the armed services who holds a position of authority or command,4.6963,240
evidence,noun,A2,evidence.n.01,your basis for belief or disbelief; knowledge on which to base belief,4.6959,241
mad,adj,B1,brainsick.s.01,affected with madness or insanity,4.6958,242
dumb,adj,C1,dense.s.04,slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray,4.6954,243
low,adj,A2,low.a.01,less than normal in degree or intensity or amount,4.6944,244
sky,noun,A2,sky.n.01,the atmosphere and outer space as viewed from the earth,4.6926,245
lately,adv,B2,recently.r.01,in the recent past,4.6919,246
pray,verb,B1,pray.v.01,"address a deity, a prophet, a saint or an object of worship; say a prayer",4.6914,247
murder,verb,B1,murder.v.01,kill intentionally and with premeditation,4.6897,248
hit,verb,A2,hit.v.03,"deal a blow to, either with the hand or with an instrument",4.6884,249
moon,noun,A2,moon.n.01,the natural satellite of the Earth,4.6865,250
code,noun,A2,code.n.01,a set of rules or principles or laws (especially written ones),4.6855,251
future,adj,A2,future.a.01,yet to be or coming,4.6842,252
hang,verb,B1,hang.v.02,cause to be hanging or suspended,4.683,253
honor,noun,B2,award.n.02,a tangible symbol signifying approval or distinction,4.6825,254
state,noun,B1,state.n.01,the territory occupied by one of the constituent administrative districts of a nation,4.6818,255
apparently,adv,B1,apparently.r.01,from appearances alone; ; ; -Thomas Hardy,4.681,256
exist,verb,A2,exist.v.01,"have an existence, be extant",4.6803,257
decision,noun,A2,decision.n.01,the act of making up your mind about something,4.6768,258
size,noun,A2,size.n.01,the physical magnitude of something (how big it is),4.6752,259
sign,noun,A2,sign.n.01,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),4.6745,260
relationship,noun,A2,relationship.n.01,"a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)",4.6742,261
belong,verb,A2,belong.v.01,be owned by; be in the possession of,4.6731,262
silly,adj,B1,cockamamie.s.01,"ludicrous, foolish",4.672,263
offer,verb,A2,offer.v.01,"make available or accessible, provide or furnish",4.6696,264
look,noun,A2,look.n.02,the act of directing the eyes toward something and perceiving it visually,4.6692,265
drop,verb,A2,drop.v.01,let fall to the ground,4.6685,266
hand,verb,B1,pass.v.05,place into the hands or custody of,4.6683,267
sweet,adj,B1,sweet.a.01,having or denoting the characteristic taste of sugar,4.6669,268
fear,noun,A2,fear.n.01,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight),4.6657,269
depend,verb,A2,depend.v.01,be contingent upon (something that is elided),4.6651,270
mess,noun,B1,mess.n.01,a state of confusion and disorderliness,4.6644,271
sure,adv,B1,surely.r.01,definitely or positively (`sure' is sometimes used informally for `surely'),4.6638,272
thought,noun,A2,idea.n.01,the content of cognition; the main thing you are thinking about,4.6633,273
huge,adj,A2,huge.s.01,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge,4.6632,274
arrest,verb,B1,collar.v.01,take into custody,4.6626,275
act,verb,A2,act.v.02,behave in a certain manner; show a certain behavior; conduct or comport oneself,4.662,276
truth,noun,B2,truth.n.02,conformity to reality or actuality,4.659,277
necessary,adj,A2,necessary.a.01,absolutely essential,4.6551,278
opportunity,noun,A2,opportunity.n.01,a possibility due to a favorable combination of circumstances,4.6521,279
light,adj,A2,light.a.01,of comparatively little physical weight or density,4.652,280
service,noun,A2,service.n.01,work done by one person or group that benefits another,4.6517,281
smoke,verb,A2,smoke.v.01,"inhale and exhale smoke from cigarettes, cigars, pipes",4.6508,282
beauty,noun,A2,beauty.n.01,the qualities that give pleasure to the senses,4.6508,283
magic,adj,B1,charming.s.02,possessing or using or characteristic of or appropriate to supernatural powers; ; ; ; - Shakespeare,4.6488,284
seat,noun,A2,seat.n.01,a space reserved for sitting (as in a theater or on a train or airplane),4.6482,285
record,noun,A2,record.n.01,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events,4.648,286
bank,noun,B1,depository_financial_institution.n.01,a financial institution that accepts deposits and channels the money into lending activities,4.647,287
count,verb,A2,count.v.01,determine the number or amount of,4.6458,288
figure,verb,B2,figure.v.02,be or play a part of or in,4.6446,289
gift,noun,A2,gift.n.01,something acquired without compensation,4.6443,290
beg,verb,B1,beg.v.01,call upon in supplication; entreat,4.6431,291
charge,noun,B1,charge.n.02,(criminal law) a pleading describing some wrong or offense,4.6426,292
sort,verb,B1,screen.v.03,examine in order to test suitability,4.6415,293
emergency,noun,B1,emergency.n.01,a sudden unforeseen crisis (usually involving danger) that requires immediate action,4.6401,294
public,adj,A2,public.a.01,not private; open to or concerning the people as a whole,4.6391,295
mad,adj,B1,huffy.s.02,roused to anger; - Mark Twain,4.6378,296
voice,noun,B1,voice.n.01,the distinctive quality or pitch or condition of a person's speech,4.6376,297
agent,noun,B1,agent.n.01,an active and efficient cause; capable of producing a certain effect,4.6375,298
allow,verb,A2,let.v.01,make it possible through a specific action or lack of action for something to happen,4.637,299
bother,verb,B1,trouble_oneself.v.01,take the trouble to do something; concern oneself,4.6369,300
ugly,adj,B2,ugly.a.01,displeasing to the senses,4.6361,301
film,noun,A2,movie.n.01,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,4.6342,302
appreciate,verb,B1,appreciate.v.01,recognize with gratitude; be grateful for,4.634,303
enemy,noun,B1,enemy.n.01,an opposing military force,4.6308,304
consider,verb,A2,see.v.05,deem to be,4.6304,305
self,noun,B2,self.n.01,your consciousness of your own identity,4.6299,306
step,verb,B2,step.v.01,shift or move by taking a step,4.6295,307
promise,verb,A2,promise.v.02,promise to undertake or give,4.6272,308
hurry,noun,B1,hurry.n.01,a condition of urgency making it necessary to hurry,4.6257,309
cry,verb,A2,cry.v.02,"shed tears because of sadness, rage, or pain",4.6256,310
immediately,adv,A2,immediately.r.01,without delay or hesitation; with no time intervening,4.6255,311
remind,verb,B1,remind.v.01,put in the mind of someone,4.6242,312
blow,noun,B2,blow.n.01,a powerful stroke with the fist or a weapon,4.6229,313
smell,verb,A2,smell.v.01,inhale the odor of; perceive by the olfactory sense,4.6218,314
department,noun,A2,department.n.01,a specialized division of a large organization,4.6216,315
knock,verb,A2,knock.v.01,deliver a sharp blow or push :,4.6213,316
dump,verb,B2,dump.v.01,throw away as refuse,4.6197,317
signal,noun,B1,signal.n.01,any nonverbal action or gesture that encodes a message,4.617,318
demon,noun,C1,devil.n.02,an evil supernatural being,4.617,319
rat,noun,B2,rat.n.01,any of various long-tailed rodents similar to but larger than a mouse,4.616,320
bet,noun,B1,stake.n.04,the money risked on a gamble,4.6155,321
spot,noun,B1,topographic_point.n.01,a point located with respect to surface features of some region,4.6146,322
medical,adj,A2,medical.a.01,relating to the study or practice of medicine,4.6143,323
victim,noun,B1,victim.n.01,an unfortunate person who suffers from some adverse circumstance,4.6141,324
contact,noun,B1,contact.n.01,close interaction,4.6136,325
sue,verb,C1,action.v.01,institute legal proceedings against; file a suit against,4.6136,326
issue,noun,B1,issue.n.01,an important question that is in dispute and must be settled,4.6135,327
comfortable,adj,A2,comfortable.a.01,providing or experiencing physical well-being or relief (`comfy' is informal),4.6133,328
arrest,noun,B1,apprehension.n.04,the act of apprehending (especially apprehending a criminal),4.613,329
cute,adj,B2,cute.s.02,obviously contrived to charm,4.6128,330
cute,adj,B2,cunning.s.01,attractive especially by means of smallness or prettiness or quaintness,4.6128,331
head,verb,B1,head.v.02,be in charge of,4.6114,332
guard,noun,B1,guard.n.01,a person who keeps watch over something or someone,4.6097,333
convince,verb,B1,convert.v.09,"make (someone) agree, understand, or realize the truth or validity of something",4.6094,334
condition,noun,A2,condition.n.01,a state at a particular time,4.6092,335
responsible,adj,B1,responsible.a.01,worthy of or requiring responsibility or trust; or held accountable,4.6079,336
offer,noun,A2,offer.n.02,something offered (as a proposal or bid),4.6077,337
impossible,adj,A2,impossible.a.01,not capable of occurring or being accomplished or dealt with,4.6068,338
horrible,adj,B1,atrocious.s.03,provoking horror; ; ; ; - Winston Churchill,4.606,339
ghost,noun,B1,ghost.n.01,a mental representation of some haunting experience,4.6053,340
law,noun,A2,law.n.02,legal document setting forth rules governing a particular kind of activity,4.605,341
grand,adj,B2,expansive.s.02,of behavior that is impressive and ambitious in scale or scope,4.6049,342
fail,verb,A2,fail.v.01,fail to do something; leave something undone,4.6048,343
wood,noun,B1,wood.n.01,the hard fibrous lignified substance under the bark of trees,4.6048,344
kick,verb,B1,kick.v.02,thrash about or strike out with the feet,4.6044,345
fire,verb,A2,open_fire.v.01,start firing a weapon,4.6016,346
voice,noun,B1,voice.n.02,the sound made by the vibration of vocal folds modified by the resonance of the vocal tract,4.6014,347
ring,noun,A2,ring.n.02,a toroidal shape,4.6007,348
ring,noun,B1,hoop.n.02,a rigid circular band of metal or wood or other material used for holding or fastening or hanging or pulling,4.6007,349
stranger,noun,B1,stranger.n.01,anyone who does not belong in the environment in which they are found,4.6001,350
system,noun,B1,system.n.01,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,4.5994,351
cigarette,noun,A2,cigarette.n.01,finely ground tobacco wrapped in paper; for smoking,4.5981,352
sense,noun,A2,sense.n.02,the meaning of a word or expression; the way in which a word or expression or situation can be interpreted,4.5977,353
